id,company,code,indicatorlistS,timeS,useS,timeuseS,keepS,remarkS
3426,1,100121,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
3427,1,100122,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
3428,1,100123,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
3429,1,100124,เจริญอาหาร,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,ก่อนนอน
3430,1,100125,เจริญอาหาร,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ 1 เม็ด,ก่อนอาหาร,NULL,ยานี้ทำให้ง่วงนอน
3431,1,100126,แก้แพ้ผื่นคัน,ก่อนนอน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,ยานี้ทำให้ง่วงนอน
3432,1,100127,แก้แพ้ผื่นคัน,ก่อนนอน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,ยานี้ทำให้ง่วงนอน
3433,1,100129,ลดน้ำมูก แพ้อากาศ,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,ยานี้ทำให้ง่วงนอน
3434,1,100130,ลดน้ำมูก แพ้อากาศ,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,ยานี้ทำให้ง่วงนอน
3435,1,100131,ช่วยให้นอนหลับ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,ก่อนนอน 30 นาที
3436,1,100132,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
3437,1,100133,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
3438,1,100134,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
3439,1,100135,บรรเทาอาการหวัด คัดจมูก,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,ยานี้ทำให้ง่วงนอน
3440,1,100136,บรรเทาอาการหวัด คัดจมูก,ก่อนนอน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,ยานี้ทำให้ง่วงนอน
3441,1,100137,บรรเทาอาการหวัด คัดจมูก,ก่อนนอน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,ยานี้ทำให้ง่วงนอน
3442,1,100138,บรรเทาอาการหวัด คัดจมูก,ก่อนนอน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,ยานี้ทำให้ง่วงนอน
3443,1,100139,บรรเทาอาการหวัด ลดไข้,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ 2 เม็ด,NULL,NULL,ยานี้ทำให้ง่วงนอน
3444,1,100140,รักษาตาติดเชื้อ,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดวันละ 1-2 หยด,NULL,เก็บในอุณหภูมิห้อง,เปิดใช้แล้วมีอายุ 1 เดือน
3445,1,100141,รักษาตาติดเชื้อ,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดครั้งละ 1-2 หยด,NULL,เก็บในอุณหภูมิห้อง,เปิดใช้แล้วมีอายุ 1 เดือน
3446,1,100142,บรรเทาอาการระคายเคืองตา,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดครั้งละ 1-2 หยด,NULL,เก็บในอุณหภูมิห้อง,เปิดใช้แล้วมีอายุ 1 เดือน
3447,1,100143,บรรเทาอาการระคายเคืองตา,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดครั้งละ 1-2 หยด,NULL,เก็บในอุณหภูมิห้อง,เปิดใช้แล้วมีอายุ 1 เดือน
3448,1,100144,บรรเทาอาการระคายเคืองตา,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดครั้งละ 1-2 หยด,NULL,เก็บในอุณหภูมิห้อง,เปิดใช้แล้วมีอายุ 1 เดือน
3449,1,100145,บรรเทาอาการระคายเคืองตา,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดครั้งละ 1-2 หยด,NULL,NULL,NULL
